iter	Passed	Remaining
818	149078	214971
819	149219	214730
820	149351	214476
821	149495	214241
822	149659	214033
823	149836	213844
824	150016	213659
825	150198	213478
826	150435	213374
827	150588	213152
828	150729	212912
829	150871	212674
830	151034	212466
831	151179	212232
832	151341	212023
833	151488	211792
834	151681	211626
835	151863	211445
836	151947	211129
837	152183	211022
838	152416	210912
839	152636	210783
840	152806	210585
841	152962	210368
842	153132	210170
843	153315	209991
844	153484	209791
845	153667	209612
846	153858	209443
847	153967	209163
848	154127	208952
849	154283	208736
850	154413	208486
851	154541	208232
852	154676	207988
853	154812	207746
854	154966	207528
855	155112	207299
856	155257	207070
857	155399	206836
858	155587	206665
859	155757	206469
860	155893	206227
861	156082	206057
862	156238	205844
863	156388	205621
864	156535	205395
865	156678	205165
866	156828	204944
867	156986	204733
868	157145	204524
869	157276	204278
870	157428	204061
871	157591	203856
872	157739	203634
873	157822	203327
874	158003	203147
875	158225	203019
876	158421	202859
877	158598	202673
878	158952	202714
879	159223	202647
880	159409	202473
881	159525	202210
882	159763	202101
883	159954	201933
884	160164	201789
885	160440	201727
886	160653	201586
887	160811	201376
888	160949	201141
889	161094	200916
890	161254	200708
891	161467	200567
892	161675	200419
893	161893	200284
894	162119	200158
895	162301	199978
896	162470	199782
897	162615	199556
898	162768	199341
899	162908	199109
900	163060	198894
901	163257	198732
902	163448	198563
903	163596	198342
904	163718	198090
905	163891	197899
906	164054	197697
907	164265	197552
908	164473	197404
909	164625	197188
910	164723	196908
911	164930	196758
912	165178	196657
913	165457	196593
914	165673	196454
915	165887	196312
916	166075	196139
917	166256	195958
918	166442	195782
919	166635	195615
920	166862	195488
921	167068	195335
922	167262	195169
923	167447	194992
924	167666	194855
925	167842	194667
926	168007	194468
927	168158	194251
928	168327	194056
929	168492	193856
930	168663	193664
931	168855	193495
932	169034	193311
933	169217	193132
934	169413	192967
935	169492	192671
936	169645	192458
937	169795	192241
938	169977	192062
939	170182	191907
940	170363	191726
941	170522	191521
942	170677	191310
943	170875	191149
944	171062	190974
945	171256	190807
946	171432	190621
947	171582	190405
948	171723	190180
949	171870	189962
950	171970	189692
951	172145	189504
952	172289	189283
953	172434	189063
954	172576	188840
955	172748	188649
956	172891	188428
957	173115	188294
958	173363	188186
959	173593	188059
960	173804	187911
961	174029	187777
962	174283	187675
963	174534	187570
964	174767	187444
965	174998	187317
966	175205	187164
967	175421	187019
968	175619	186856
969	175837	186714
970	176060	186577
971	176292	186449
972	176527	186325
973	176758	186195
974	176985	186061
975	177183	185897
976	177403	185756
977	177612	185603
978	177743	185369
